,text,url
0,Getting ready to leave for the Great State of Indiana and meet the hard working and wonderful people of Carrier A.C.,Donald Trump at 2016-12-01 09:38:09 EST
1,Look forward to going to Indiana tomorrow in order to be with the great workers of Carrier. They will sell many air conditioners!,Donald Trump at 2016-11-30 22:48:35 EST
2,RT @DanScavino: Great interview on @foxandfriends by @SteveDoocy w/ Carrier employee- who has a message for #PEOTUS @realDonaldTrump &amp; #VPE…,Donald Trump at 2016-11-30 14:51:16 EST
3,Big day on Thursday for Indiana and the great workers of that wonderful state.We will keep our companies and jobs in the U.S. Thanks Carrier,Donald Trump at 2016-11-29 22:50:44 EST
4,I will be going to Indiana on Thursday to make a major announcement concerning Carrier A.C. staying in Indianapolis. Great deal for workers!,Donald Trump at 2016-11-29 22:40:16 EST
5,"In addition to winning the Electoral College in a landslide, I won the popular vote if you deduct the millions of people who voted illegally",Donald Trump at 2016-11-27 15:30:43 EST
6,Carstens se va; niega pleito con EPN y pega al peso,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/carstens-se-va-niega-pleito-con-epn-y-pega-al-peso
7,"Alertan de apagones en Francia, RU y Bélgica",http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/alertan-de-apagones-en-francia-ru-y-belgica
8,Pemex ve difícil licitación para las aguas profundas ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/pemex-ve-dificil-licitacion-para-las-aguas-profundas
9,"Alza en tasa, medida ante incertidumbre por Trump: Banxico",http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/alza-en-tasa-medida-ante-incertidumbre-por-trump-banxico
10,"Perfil. Agustín Carstens, un banquero de prestigio mundial",http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/perfil-agustin-carstens-un-banquero-de-prestigio-mundial
11,Partidos políticos piden legitimidad ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/partidos-politicos-piden-legitimidad
12,"La confianza, el factor que está en juego",http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/la-confianza-el-factor-que-esta-en-juego
13,Iniciativa Privada: Banxico es más que una persona,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/iniciativa-privada-banxico-es-mas-que-una-persona
14,Su nuevo reto: vigilar al sistema financiero global ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/su-nuevo-reto-vigilar-al-sistema-financiero-global
15,Bancos apuestan por Werner o Videgaray,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/bancos-apuestan-por-werner-o-videgaray
16,Economía Universal,http://www.eluniversal.com.mxhttp://www.eluniversaltv.com.mx/video/cartera/2016/walmart-seguira-pagando-15-por-hora-en-mexico-65279
17,Preparan exportadores mexicanos escenario por Trump,http://www.eluniversal.com.mxhttp://www.eluniversaltv.com.mx/video/cartera/2016/preparan-exportadores-mexicanos-escenario-por-trump
18,Entérate. ¿Qué es el TLCAN?,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/24/enterate-que-es-el-tlcan
19,Inquieta salida de Carstens,http://www.elfinanciero.com.mx/economia/inquieta-salida-de-carstens.html
20,Luz para industriales subirá 53% en este mes,http://www.elfinanciero.com.mx/economia/industriales-veran-recibo-de-luz-30-mas-caro-en-noviembre.html
21,Inversiones en petrolíferos suman 8 mil mdd,http://www.elfinanciero.com.mx/economia/inversiones-en-petroliferos-suman-mil-mdd.html
22,10 things you need to know before the opening bell,http://www.businessinsider.com.au/10-things-before-the-opening-bell-december-2-2016-2016-12
23,10 things you need to know before the opening bell,http://www.businessinsider.com.au/opening-bell-december-1-2016-2016-12
24,'Harry Potter and the Cursed Child' is coming to Broadway,http://money.cnn.com//2016/12/02/media/harry-potter-cursed-child-broadway/index.html
25,Premarket: 5 things to know before the bell,http://money.cnn.com//2016/12/02/investing/premarket-stocks-trading/index.html
26,Russia: Foreign hackers are trying to take down our banks,http://money.cnn.com//2016/12/02/technology/russia-hack-banks-foreign/index.html
27,Senior financial scams are on the rise,http://money.cnn.com//2016/12/01/retirement/senior-financial-scams/index.html
28,Controversial merchant cash advances come at a high cost to small businesses,http://money.cnn.com//2016/12/01/news/economy/merchant-cash-advance/index.html
29,Payrolls in U.S. Rise; Jobless Rate Falls on Lower Participation,http://www.bloomberg.com//news/articles/2016-12-02/payrolls-in-u-s-rise-jobless-rate-falls-on-lower-participation
30,Obama Said Poised to Block Chinese Takeover of Germany’s Aixtron,http://www.bloomberg.com//news/articles/2016-12-02/obama-said-poised-to-block-chinese-takeover-of-germany-s-aixtron
31,OPEC Deal Hinged on 2 a.m. Phone Call and It Nearly Failed,http://www.bloomberg.com//news/articles/2016-12-02/opec-deal-hinged-on-2-a-m-phone-call-and-it-very-nearly-failed
32,Passive Investors Get Sucked Into Hong Kong Market Failures,http://www.wsj.com/articles/passive-investors-get-sucked-into-hong-kong-market-failures-1480650893
33,"Coal Price Politics, China Edition",http://blogs.wsj.com/moneybeat/2016/12/02/coal-price-politics-china-edition/
34,Baby Boomers vs. Millennials: The Uneven Jobs Recovery,http://www.wsj.com/articles/baby-boomers-vs-millennials-the-uneven-jobs-recovery-1480624537
35,Infrastructure Stocks Overheated on Trump’s Trillion-Dollar Plan,http://blogs.wsj.com/moneybeat/2016/12/01/infrastructure-stocks-overheated-on-trumps-trillion-dollar-plan/
36,OPEC Windfall Shows Talk Isn’t Cheap,http://www.wsj.com/articles/opec-windfall-shows-talk-isnt-cheap-1480618629
37,Glencore Moving Too Quickly on Dividend,http://www.wsj.com/articles/glencore-moving-too-quickly-on-dividend-1480614591
38,Patent Feud Is Underappreciated Risk at Biogen,http://www.wsj.com/articles/patent-feud-is-underappreciated-risk-at-biogen-1480604461
39,Europe’s Forgotten Election: Spare a Thought for Austria,http://www.wsj.com/articles/europes-forgotten-election-spare-a-thought-for-austria-1480607526
