,text,url
0,Licitación de 148 canales atrae a 25 interesados,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/26/licitacion-de-148-canales-atrae-25-interesados
1,Ford aumenta oferta en pick ups con modelo Raptor 2017 ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/26/ford-aumenta-oferta-en-pick-ups-con-modelo-raptor-2017
2,Pide Anierm intercambio comercial con otros países ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/26/pide-anierm-intercambio-comercial-con-otros-paises
3,Retroceden 4.4% las exportaciones en octubre: Inegi,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/26/retroceden-44-las-exportaciones-en-octubre-inegi
4,Sufre economía desaceleración,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/26/sufre-economia-desaceleracion
5,Banxico advierte de fase de desaceleración,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/25/banxico-advierte-de-fase-de-desaceleracion
6,Cierra dólar al menudeo en $20.95,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/25/cierra-dolar-al-menudeo-en-2095
7,Concluye gira de trabajo de SHCP-Pemex en Reino Unido ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/25/concluye-gira-de-trabajo-de-shcp-pemex-en-reino-unido
8,"Recomienda Sojo explotar información estadística para entender el ""efecto Trump""",http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/25/recomienda-sojo-explotar-informacion-estadistica-para-entender
9,Retroceden exportaciones durante octubre,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/25/retroceden-exportaciones-durante-octubre
10,Economía Universal,http://www.eluniversal.com.mxhttp://www.eluniversaltv.com.mx/video/cartera/2016/walmart-seguira-pagando-15-por-hora-en-mexico-65279
11,Walmart seguirá pagando $15 por hora en México,http://www.eluniversal.com.mxhttp://www.eluniversaltv.com.mx/video/cartera/2016/walmart-seguira-pagando-15-por-hora-en-mexico-65279
12,"Por Trump, empresarios de México y EU alistan estrategia",http://www.eluniversal.com.mxhttp://www.eluniversaltv.com.mx/video/cartera/2016/preparan-estrategia-empresarios-de-mexico-y-eu
13,Se mantienen precios de gasolina y diésel en diciembre: Hacienda,http://www.elfinanciero.com.mx/economia/se-mantienen-precios-de-gasolina-y-diesel-en-diciembre.html
14,Entrada de inversión de cartera extranjera cae a su menor nivel desde 2009,http://www.elfinanciero.com.mx/economia/cae-entrada-de-inversion-de-cartera-extranjera-a-su-menor-nivel-desde-2009.html
15,Controversia por propuesta sobre salario,http://www.elfinanciero.com.mx/economia/aumento-al-salario-sin-consenso-provocaria-conflictividad-laboral-stps.html
16,10 things you need to know before the opening bell,http://www.businessinsider.com.au/10-things-you-need-to-know-today-november-25-2016-2016-11
17,10 things you need to know before the opening bell,http://www.businessinsider.com.au/opening-bell-november-23-2016-2016-11
18,Flying to Cuba: What you need to know,http://money.cnn.com//2016/11/26/news/companies/delta-cuba-flights/index.html
19,Wells Fargo tries to kill class action lawsuit by forcing arbitration,http://money.cnn.com//2016/11/25/investing/wells-fargo-lawsuit-forced-arbitration/index.html
20,Tree Dazzler Christmas tree lights could spark a new decorating craze,http://money.cnn.com//2016/11/26/technology/tree-dazzler-christmas-lights/index.html
21,Why I shop on Black Friday (Hint: It's not for the deals),http://money.cnn.com//2016/11/23/pf/black-friday-family-traditions/index.html
22,Hatchimals stockpile is surprise windfall for Arizona brothers,http://money.cnn.com//2016/11/23/smallbusiness/hatchimals-ebay/index.html
23,Trump’s Tough Talk on Castro and Cuba Shows Big Shift From Obama,http://www.bloomberg.com/politics/articles/2016-11-26/trump-obama-have-very-different-responses-to-castro-s-death
24,Clinton Recount Plan Draws Sore Loser Jibe From Team Trump,http://www.bloomberg.com/politics/articles/2016-11-26/clinton-campaign-will-participate-in-stein-s-state-recounts
25,"Lego, iPad Drive Record Online Sales on Black Friday, Adobe Says",http://www.bloomberg.com//news/articles/2016-11-26/lego-ipad-drive-record-online-sales-on-black-friday-adobe-says
26,Trade War’s Biggest Loser—Stocks,http://www.wsj.com/articles/trade-wars-biggest-loserstocks-1480101219
27,Another Shoe Drops at comScore,http://www.wsj.com//articles/another-shoe-drops-at-comscore-1480103867
28,Apple Customers Listening Carefully,http://blogs.wsj.com/moneybeat/2016/11/25/apple-customers-listening-carefully/
29,Lufthansa Pilots Strike Distracts From Real Problems,http://www.wsj.com//articles/lufthansa-pilots-strike-distracts-from-real-problems-1480083418
30,Why Investors Should Build Their Own Global Banks,http://www.wsj.com//articles/why-investors-should-build-their-own-global-banks-1480078411
31,Mind the Gap,http://blogs.wsj.com/moneybeat/2016/11/25/mind-the-gap/
32,China Drags Toyota Into Electric Future,http://www.wsj.com//articles/china-drags-toyota-into-electric-future-1480055160
33,China’s Travel Giant Takes Expensive European Adventure,http://www.wsj.com//articles/chinas-travel-giant-takes-expensive-european-adventure-1480022189
34,Black Friday: Retail Stocks Aren’t on Sale,http://www.wsj.com//articles/blackfriday-retail-stocks-arent-on-sale-1480013792
35,"Rémy Cointreau: Pricey Liquor, Pricey Shares",http://www.wsj.com//articles/remy-cointreau-pricey-liquor-pricey-shares-1479998597
36,Turkey’s Rate Rise Can’t Stop Dollar Storm,http://www.wsj.com//articles/turkeys-rate-rise-cant-stop-dollar-storm-1479997808
37,Don’t Bank on Relief for These Lenders,http://www.wsj.com//articles/dont-bank-on-relief-for-these-lenders-1479919330
38,Aluminum Giant’s Armor as Thin as Foil,http://www.wsj.com//articles/aluminum-giants-armor-as-thin-as-foil-1479953332
39,Flawed Chicken Index Could Mean Dark Times for White Meat,http://www.wsj.com//articles/flawed-chicken-index-could-mean-dark-times-for-white-meat-1479940796
40,Eli Lilly: What Really Ails Big Pharma,http://blogs.wsj.com/moneybeat/2016/11/23/eli-lilly-what-really-ails-big-pharma/
